,number,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,scents_group
507,17,DORALL COLLECTION,24 Pure,22.0,9.85,100,EDT,Men,Fresh,"Amber, Musk, Sandalwood, Coumarin, Vanilla","Pink Pepper, Cardomon, Cinnamon, Jasmin, Cumin, Red Fruits, Lily, Nutmeg",4.9,B.A.G,3.7,14.1K,Fresh
508,51,VERSACE,Dylan Blue,425.0,217.85,100,EDT,Men,Fresh,"Incense, Musk, Tonka Bean, Saffron","Ambroxan, Patchouli, Black Pepper, Violet Leaf, Papyrus",4.6,noon,4.2,98.1K,Fresh
509,52,Benetton,Hot Gold,45.0,27.45,100,EDT,Women,Fresh,"Amber, Musk, Sandalwood","Carambola, Rose, Mimosa",4.4,noon,4.2,98.1K,Fresh
510,68,J.CASANOVA,ICQ,76.3,76.3,100,EDT,Men,Fresh,"Wood, Cedar Wood, Patchouli, Animal, Sandalwood","Floral, Ylang-Ylang, Jasmin, Cyclamen, Rosewood",5.0,Parisian Store,3.9,425,Fresh
511,76,VERSACE,Dylan Blue,425.0,217.85,100,EDT,Men,Fresh,"Incense, Musk, Tonka Bean, Saffron","Ambroxan, Patchouli, Black Pepper, Violet Leaf, Papyrus",4.6,noon,4.2,98.1K,Fresh
512,82,Ard Al Zaafaran,Oud 24 Hours,47.0,47.0,100,EDP,Unisex,Fresh,"Amber, Incense, Sandalwood, Patchouli And Agarwood (oud)","Spicy Notes, Fruity Notes, Jasmine, Gardenia And Ylang-ylang",4.0,Attractive perfume,3.5,244,Fresh
513,108,Dunhill,Desire,230.0,84.95,100,EDT,Men,Fresh,"Vanilla, Musk And Labdanum","Rose, Teakwood And Patchouli",4.2,hadayiq baris,3.8,122,Fresh
514,109,Dior,Sauvage,1176.0,240.85,100,EDT,Men,Fresh,"Cedar, labdanum, ambroxan","Geranium, lavender, sichuan, pepper, elemi, pink pepper, vetiver, patchouli",3.8,ثروة الجمال,3.9,61,Fresh
515,116,DORALL COLLECTION,Classic Black,9.0,8.8,100,EDT,Men,Fresh,"Chocolate,cashmere Wood, Patchouli, Tonka Bean","Basil, Verbena , Lavender",4.0,the beauty,3.9,538,Fresh
516,151,cacharel,Noa,299.0,154.75,100,EDT,Women,Fresh,"Woodsy transparent with coffee, incense touches","White flowers, ylang-ylang, rose",4.5,Star.perfume,3.9,537,Fresh
517,167,PACO RABANNE,Million,295.0,166.5,50,EDP,Women,Fresh,Honey and Patchouli,Orange Flower Absolute and Jasmine Absolute,5.0,Number One,4.3,118,Fresh
518,180,BURBERRY,Brit Splash,278.0,194.0,100,EDT,Men,Fresh,"Moss, Musk, Vetiver","Cyclamen, Violet, Water Notes",4.6,Chansles,3.9,33,Fresh
519,210,Sedr Al-Khaleej Perfumes,Love Touch,111.0,49.85,100,EDP,Women,Fresh,"Woody Leather, Musk","Tiare Flower, Rose",5.0,noon,4.2,98.1K,Fresh
520,234,UNITED COLORS OF BENETTON,Cold Silver,72.0,29.35,100,EDT,Men,Fresh,"Silver Moss, Mineral Amber and Musk","Cardamom, Silver Sage and Driftwood",4.8,noon,4.2,98.1K,Fresh
521,240,Givenchy,Dahlia Divin Nude,549.0,300.0,75,EDP,Women,Fresh,"Rose, Vanilla, Ginger","Pine, Cardamom, Lavender, Rosemary",4.5,Beautify,3.6,531,Fresh
522,258,Rasasi,Relation,126.0,55.0,50,EDP,Women,Fresh,Musk and Vanilla,"Bulgarian Rose, Lilac and Jasmine",5.0,Willow flower,4.3,5,Fresh
523,267,joop,Go,175.0,103.95,100,EDT,Men,Fresh,Musk and Balsam Fir,"Cypress, Violet and Bourbon Geranium",4.4,Abu Al Tayyeb Perfumes,3.6,111,Fresh
524,281,AMOUAGE,Interlude,854.0,716.8,100,EDP,Men,Fresh,"Leather, Agarwood Smoke, Patchouli, Sandalwood","Amber, Frankincense, Opoponax, Cistus, Myrrh",4.0,Perfume Ms,4.2,20,Fresh
525,285,HUGO BOSS,Hugo Boss,214.0,95.0,125,EDT,Men,Fresh,"Patchouli, Fir, Cedar","Carnation, Sage, Geranium, Jasmine",4.5,Cute Shop,4.2,425,Fresh
527,312,jennifer lopez,Live Luxe,168.0,95.0,100,EDP,Women,Fresh,"diamond musk, soft musk","muguet petals, exotic amethyst freesia",5.0,neo lek,3.5,88,Fresh
528,384,HUGO BOSS,Hugo Man,269.0,99.5,75,EDT,Men,Fresh,"Patchouli, Fir and Cedar","Carnation, Sage, Geranium and Jasmine",4.3,AMLAQ,3.9,135,Fresh
529,448,GUCCI,Memoire  D'une Odeur EDP For Uni,530.0,349.95,100,EDP,Unisex,Fresh,"Sandalwood, Cedar, Vanilla","Coral Jasmine, Jasmine Petals, Musks",5.0,noon,4.2,98.1K,Fresh
530,470,CARON,De Caron,388.0,178.0,200,EDT,Men,Fresh,Musk,Vanille,4.3,ثروة الجمال,3.7,59,Fresh
531,479,VERSACE,Versace Pour Homme,405.0,163.55,100,EDT,Men,Fresh,"Amber, Tonka Beans And Musk","Geranium, Clary Sage And Blue Hyacinth",4.7,King-Perfume,3.8,450,Fresh
532,496,Ajmal,Blu,177.0,139.95,90,EDP,Men,Fresh,"Sandalwood, Musk and Amber","Lotus, Jasmine",4.0,noon,4.2,98.1K,Fresh
533,579,HUGO BOSS,Hugo,395.0,99.0,125,EDT,Men,Fresh,"Patchouli, Fir and Cedar","Carnation, Sage, Geranium and Jasmine",4.5,Cute Shop,4.2,98,Fresh
534,582,Dunhill,Desire,111.0,54.95,30,EDT,Men,Fresh,"Vanilla, Musk And Labdanum","Rose, Teakwood And Patchouli",4.8,Star.perfume,3.9,537,Fresh
535,590,Sedr Al-Khaleej Perfumes,For Ever,34.85,34.85,100,EDP,Men,Fresh,"Woody, Musk, Amber","Praline, Cardamom, Cinnamon",4.0,noon,4.2,98.1K,Fresh
536,604,DORALL COLLECTION,Classic Black,9.0,8.8,100,EDT,Men,Fresh,"Chocolate,cashmere Wood, Patchouli, Tonka Bean","Basil, Verbena , Lavender",4.0,the beauty,3.6,538,Fresh
537,632,VERSACE,Versace Pour Homme,405.0,163.55,100,EDT,Men,Fresh,"Amber, Tonka Beans And Musk","Geranium, Clary Sage And Blue Hyacinth",4.7,King-Perfume,3.6,450,Fresh
538,659,J.CASANOVA,Plaisir,145.0,75.0,100,EDP,Women,Fresh,"Sandalwood, Musk, Vanilla Orchid And Cedar","Clove, Damascus Plum, Pear And Ylang -ylang",4.5,Tiffany,3.8,75,Fresh
539,724,Alina Corel,Beach Palm,24.95,24.95,100,EDP,Women,Fresh,"Himalayan Cedar, Warm Woman Skin Accord, Sandal and Incense","Heliotrope, Jasmine In An Alliance With Hibiscus Blossom and Bulgarian Rose",2.3,noon,4.2,98.1K,Fresh
540,734,YVES,Black Opium,178.5,178.5,90,EDP,Women,Fresh,"Vanilla, Patchouli, Cedar, Cashmere Wood","Coffee, Jasmine, Bitter Almond, Licorice",5.0,Al-Najm,3.7,347,Fresh
541,787,al raheeb,Oud Khurafi,36.0,36.0,100,EDP,Unisex,Fresh,"Cashmeran, Ambroxan, Musk",Woody,5.0,beautiful lady,445.0,8,Fresh
542,802,J.CASANOVA,Vivaldi,87.0,87.0,100,EDP,Women,Fresh,"Tonka Bean, Patchouli, Opoponax, Vanilla, Vetiver And White Musk","Mimosa, Jasmine, Turkish Rose And Ylang-Ylang",5.0,Ryhana Perfume,4.2,25,Fresh
543,804,Dunhill,Desire Blue,280.0,68.0,100,EDT,Men,Fresh,"Tonka Bean, Musk, Amber And, Benzoin","Orange, Brazilian Rosewood And, Sea Notes",4.3,Modon,3.9,71,Fresh
544,813,MB,Tim Tom Leather Black,19.0,19.0,100,EDP,Men,Fresh,"Rose, Vanilla, Ginger","Pine, Cardamom, Lavender, Rosemary",3.3,Beautify,3.6,528,Fresh
545,819,MB,Sweetheart Rockstar,10.8,10.8,100,EDP,Women,Fresh,"Rose, Vanilla, Ginger","Pine, Cardamom, Lavender, Rosemary",4.5,Beautify,3.6,531,Fresh
546,852,Dunhill,Desire,276.0,84.25,100,EDT,Men,Fresh,"Vanilla, Musk","Rose, Teak Wood, Patchouli",4.5,S2021,3.9,23,Fresh
547,913,Dunhill,Desire Blue,280.0,68.0,100,EDT,Men,Fresh,"Tonka Bean, Musk, Amber And, Benzoin","Orange, Brazilian Rosewood And, Sea Notes",4.3,Modon,3.6,71,Fresh
548,958,Dunhill,Desire,276.0,84.25,100,EDT,Men,Fresh,"Vanilla, Musk","Rose, Teak Wood, Patchouli",4.5,S2021,3.5,23,Fresh
549,965,DAVIDOFF,Cool Water,315.0,85.5,125,EDT,Men,Fresh,"Musk, Oakmoss, Cedar, Tobacco, and Amber","Sandalwood, Jasmine, Neroli, and Geranium",3.7,Lolita Shop,3.6,5,Fresh
550,7,DORALL COLLECTION,Gold Secret,43.0,12.35,100,EDT,Men,Fruity,Labdanum and Musk,Lavender and Cloves,2.9,B.A.G,3.7,14.1K,Fruity
551,12,Rasasi,Royale Blue,97.0,45.3,75,EDP,Men,Fruity,Delicate Musky Sensual Woods,Distinct and Exotic,4.5,Bismat Eatar,3.9,66,Fruity
552,25,GUCCI,Bloom Aqua Di Fiori,515.0,311.8,100,EDT,Women,Fruity,Jasmine,Tuberose,4.7,noon,4.2,98.1K,Fruity
553,57,Juicy Couture,Viva La Juicy Noir,490.0,144.45,100,EDP,Women,Fruity,"Amber, Caramel, Vanilla And Sandalwood","Gardenia, Honeysuckle And Jasmine",4.9,Rose Gallary,3.5,63,Fruity
554,64,Ajmal,Raindrops,97.0,47.95,50,EDP,Women,Fruity,Floral Ambery Woody,Animalistic Floral,4.7,noon,4.2,98.1K,Fruity
555,87,Guerlain,Ideal,560.0,223.0,100,EDP,Men,Fruity,"Leather, Sandalwood, Tonka Beans","Bulgarian Rose, Cherry, Incense, Vanilla",4.8,Majestueuse,4.8,21,Fruity
556,91,Ajmal,Raindrops,97.0,47.95,50,EDP,Women,Fruity,Floral Ambery Woody,Animalistic Floral,4.7,noon,4.2,98.1K,Fruity
557,102,Salvatore Ferragamo,Signorina Eleganza,326.0,153.3,100,EDP,Women,Fruity,Patchouli And White Leather,Almond Powder And Golden Osmanthus Petals,5.0,noon,4.2,98.1K,Fruity
558,106,HUGO BOSS,XX,295.0,158.65,100,EDT,Women,Fruity,"Amber, Musk, Sandalwood","Jasmine, Rice, Rose",4.5,Star.perfume,3.9,537,Fruity
559,118,S.T.Dupont,Passenger Spray,220.0,124.7,100,EDP,Women,Fruity,Sandalwood and Musk,"Redolent with Cyclamen, Gardenia, Rose and Iris",5.0,AMLAQ,3.9,135,Fruity
560,127,jennifer lopez,Live,161.0,104.0,100,EDP,Women,Fruity,"Tonka Bean, Sensual, Rich, Creamy Buttery Lactonic Caramel","Uity Red Currant Blossoms, Violet",5.0,Star.perfume,3.9,537,Fruity
561,134,Ferrari,Scuderia Black,163.0,98.5,125,EDT,Men,Fruity,"Cedar, Amber, Musk and Vanilla","Cardamom, Cinnamon, Rose and Jasmine",4.0,Beauty Gallery,3.7,59,Fruity
562,163,HUGO BOSS,The Scent,535.0,155.0,100,EDP,Women,Fruity,Cacao,Osmanthus,4.5,noon,4.2,98.1K,Fruity
563,175,Dolce & Gabbana,The One,100.0,100.0,75,EDP,Women,Fruity,"Tobacco, Amber, Cedar","Orange Blossom, Ginger, Cardamom",5.0,Asrar Aljamal,3.9,537,Fruity
564,177,Dolce & Gabbana,L' Imperatrice 3,370.0,157.7,100,EDT,Women,Fruity,"Lemon Tree, Musk, Sandalwood","Watermelon, Cyclamen, Jasmine",4.7,AMLAQ,3.9,135,Fruity
565,178,JAGUAR,Vision II,141.0,73.8,100,EDT,Men,Fruity,"Cedar, Musk, Patchouli, Wood","Geranium, Pepper, Sea Notes",5.0,Parvant Store,3.5,76,Fruity
566,206,Benetton,Hot,124.0,29.85,100,EDT,Women,Fruity,"Sandalwood, Amber, Musk, Vanilla, Oak Moss And Cedar","Apricot, Iris, Water Jasmine And Lily Of The Valley",5.0,Beauty Gallery,3.7,59,Fruity
567,226,GUESS,Guess Pink,105.0,92.7,75,EDP,Women,Fruity,"Amber, Oakmoss And Cedar","Peony, Magnolia, Freesia, Peach, Jasmine, Ylang Ylang And Lily Of The Valley",5.0,the beauty,4.1,538,Fruity
568,230,CARTIER,Declaration,390.0,240.0,100,EDP,Men,Fruity,"Cedar, Leather, Amberwood, BenzoinTolu,  Balsam Vetiver","Cardamom, Spices, Cumin",5.0,PARFUM.1990,3.6,111,Fruity
569,238,JAGUAR,Classic Red,64.95,64.95,100,EDT,Men,Fruity,"Patchouli, Cedar, Amber, Tonka, Vanilla","Jasmine, Pepper, Ozonic Notes",4.4,Star.perfume,3.9,537,Fruity
570,270,PRIVE,Windsor,39.0,29.95,100,EDP,Women,Fruity,"Vanilla, Blackberry, Amber","Jasmine, Magnalio, Orange Bloosm",3.0,VIP.PARFUME,4.1,5,Fruity
571,273,Jimmy Choo,jimmy,329.0,185.0,100,EDT,Men,Fruity,"Amber, Patchouli, Suede","Geranium, Pineapple Leaf, Pink Pepper",4.4,Star.perfume,3.9,537,Fruity
572,276,Ferrari,Man In Red,235.0,119.9,100,EDT,Men,Fruity,"Cedar, Tonka Bean and Labdanum","Lavender, Yellow Plum and Orange Blossom",5.0,top langri,4.4,347,Fruity
573,278,Ferrari,Scuderia Red,218.0,96.65,125,EDT,Men,Fruity,"Cedar, Sandalwood, Moss And Vanilla","Jasmine, Geranium, Orris And Nutmeg",5.0,AMLAQ,3.9,135,Fruity
574,284,Alina Corel,Nice Girl,72.0,28.45,90,EDP,Women,Fruity,"Amber, Vanilla, Musk","Jasmine, Tuberose",4.0,noon,4.2,98.1K,Fruity
575,298,Genie,1029 Collection,43.0,17.8,40,EDP,Women,Fruity,"Vegetal Amber, Musk And Mahogany","Magnolia, Lotus And Peony",4.8,Parisian Store,3.9,425,Fruity
576,307,jennifer lopez,Live,275.0,99.35,100,EDP,Women,Fruity,"Caramel, Sandalwood, Tonka Beans, Vanilla","Peony, Red Currant Blossom, Violet",4.5,noon,4.2,98.1K,Fruity
577,311,ROCHAS,Secret De Rochas,145.0,67.0,100,EDP,Women,Fruity,"Oakmoss, Sandalwood, Civet, Cedarwood, Musk, Orris, Tonka Bean","Osmanthus, Jasmine",3.0,KOZMA,4.4,337,Fruity
578,319,TED LAPIDUS,Creation,162.0,162.0,100,EDT,Women,Fruity,"Amber, Musk, Sandalwood, veti","Gardenia, Jasmine, Tuberose, Daffodil, Rose, Ylang-ylang",4.3,KAYA,4.3,4K,Fruity
579,344,Kenzo,Jeu D'Amour L'elixir,447.0,195.45,75,EDP,Women,Fruity,"Caramel, Patchouli, Rum, Sandalwood, Vanilla","Jasmine, Tuberose",4.6,Star.perfume,3.9,537,Fruity
580,364,BURBERRY,Brit Sheer,232.0,123.95,100,EDT,Women,Fruity,White Musk And Blond Wood,"Pink Peony, Peach Blossom And Nashi, Floral Accent",4.8,noon,4.2,98.1K,Fruity
581,378,S.T.Dupont,Passenger,310.0,106.15,100,EDP,Women,Fruity,"Iris, Vanilla, White Musk And Sandalwood","Cyclamen, Rose, Gardenia And White Peach",4.9,noon,4.2,98.1K,Fruity
